humidity,pressure,wind_speed,cloud_cover,temperature
46.5,1001.2,29.3,29.5,5.2
75.6,1015.9,9.1,78.5,17.5
70.3,1014.7,17.2,65.6,15.6
79.0,981.6,14.5,12.7,3.9
82.7,995.1,18.5,27.5,10.1
79.3,1016.2,27.3,73.9,17.1
49.6,990.5,23.5,23.6,2.6
62.2,982.0,29.5,96.7,-5.4
85.7,1030.3,22.6,41.3,26.6
72.9,1023.6,5.0,57.8,30.2
24.3,995.9,24.6,5.3,7.1
58.1,1008.6,28.4,92.2,4.7
74.7,1003.4,7.9,53.0,15.8
43.1,1027.8,11.5,31.6,26.9
96.5,985.8,15.9,35.4,12.7
68.8,1019.1,8.2,27.0,29.3
40.4,1015.1,13.8,67.5,13.1
73.8,1026.2,15.6,67.8,29.0
45.1,980.6,0.3,6.8,8.2
62.0,1021.1,10.5,72.5,18.9
22.7,1017.2,1.7,59.4,23.3
37.3,1016.0,3.7,95.8,11.9
68.4,1002.6,22.9,64.8,12.8
34.8,986.7,5.5,29.5,8.8
26.1,1007.2,29.9,76.9,6.5
73.4,1026.2,7.7,78.1,23.1
25.0,1003.3,29.9,25.8,10.7
34.2,984.2,29.4,20.1,-1.4
71.6,986.5,16.2,43.1,7.4
28.5,1006.5,7.8,3.5,14.1
78.2,1026.6,0.6,49.8,32.5
20.1,982.3,11.7,15.2,1.4
51.3,980.2,21.2,77.1,-4.1
52.3,1023.7,24.4,7.0,21.3
50.8,1021.4,23.4,12.1,22.9
99.3,1000.0,9.1,5.5,26.6
71.8,1001.9,25.6,34.0,15.5
80.8,997.4,6.1,55.4,19.1
72.9,997.9,11.7,10.7,18.6
58.9,1033.1,13.1,18.9,27.0
22.0,1039.8,7.2,38.9,34.0
71.5,1010.0,28.9,81.2,15.0
21.3,1000.4,10.1,72.1,6.1
36.9,1019.2,15.7,94.0,17.9
62.9,1024.5,7.0,7.2,33.1
59.1,981.1,27.2,61.8,-5.4
71.9,980.9,19.0,90.5,1.1
27.8,1016.7,25.1,6.4,21.1
29.1,1015.7,18.5,6.3,16.6
47.0,1030.2,22.1,40.2,20.3
74.7,1012.8,9.6,96.5,13.4
23.6,990.4,1.9,27.4,11.8
33.4,1002.2,5.0,24.4,16.3
30.7,1027.5,19.0,37.6,18.9
90.4,984.8,0.2,92.6,9.2
67.5,997.0,20.8,79.2,5.9
30.2,988.6,8.1,45.0,2.8
34.0,1021.5,17.9,71.7,17.7
27.0,1029.6,9.0,41.9,26.2
35.4,1039.2,29.3,61.9,26.8
98.9,1010.5,13.9,62.6,16.8
24.2,986.8,4.5,84.4,5.1
59.8,989.6,27.7,5.4,5.6
36.8,995.1,18.5,89.0,1.3
28.4,983.1,16.1,15.8,-1.7
61.2,984.3,7.1,44.5,7.5
53.5,1024.8,27.0,23.0,18.5
38.2,994.2,12.4,20.0,14.1
25.9,1015.1,1.6,43.6,17.5
68.8,990.7,11.2,45.8,6.2
48.7,996.2,10.1,3.2,15.3
42.4,986.7,14.0,41.8,6.8
37.6,997.7,4.7,79.5,12.8
92.4,1014.7,16.6,23.0,23.4
61.7,1031.7,6.5,47.3,30.0
21.2,1005.7,26.2,24.8,9.0
37.8,1035.6,28.4,91.4,22.9
53.4,982.7,29.7,73.3,-4.5
54.1,1003.7,24.3,69.7,4.0
59.6,985.0,22.6,69.3,-1.2
37.4,1001.5,7.2,99.9,2.5
73.5,989.7,13.8,57.0,8.2
98.1,1007.8,4.2,70.3,17.3
89.7,1017.6,21.1,0.1,27.7
50.8,1021.4,15.9,29.7,25.6
75.8,1016.8,17.3,20.7,25.6
69.6,1000.1,28.0,51.5,12.6
49.1,983.1,11.5,46.5,-1.2
49.3,1018.9,21.1,56.1,20.2
31.1,1000.1,16.2,64.9,9.2
80.2,1032.3,21.1,75.3,27.9
45.6,1033.9,15.1,42.3,23.3
49.8,1007.1,15.0,83.0,10.4
62.6,1029.5,27.0,45.2,22.1
73.9,1021.6,29.3,88.3,12.4
90.7,985.2,11.7,17.9,16.0
26.2,989.9,3.4,14.8,6.6
36.3,1037.1,0.7,41.7,34.7
94.5,1008.4,12.6,73.8,12.7
35.1,981.3,24.1,83.5,-6.2
46.9,1014.7,19.7,78.7,13.1
73.3,1011.8,16.5,45.8,19.4
91.9,998.4,23.7,22.7,12.7
43.1,1030.7,4.5,28.4,35.1
69.5,989.6,16.1,18.2,6.9
76.6,1034.3,23.8,16.1,27.2
99.5,1014.5,13.2,37.0,21.6
76.6,1019.9,29.3,14.8,21.8
98.0,1012.0,3.6,2.5,33.8
81.5,1036.9,27.8,15.6,36.4
63.7,1010.4,19.4,29.6,21.8
97.6,1025.2,29.8,66.7,24.8
78.3,1035.3,10.2,11.2,36.1
23.2,1020.7,3.5,2.5,27.5
37.6,1001.4,9.8,60.8,7.4
62.1,1026.9,23.0,19.6,21.6
88.0,1020.6,28.7,97.6,14.7
59.2,1016.2,15.3,5.6,25.5
51.8,1023.0,12.8,38.6,19.1
47.6,998.5,13.4,56.1,6.5
91.0,1024.5,12.5,44.3,24.8
78.2,1033.9,21.9,41.4,32.4
67.8,988.6,9.1,98.8,3.7
46.8,1036.0,17.7,37.6,23.7
71.1,996.4,5.2,46.2,14.8
93.2,992.0,25.0,28.9,9.8
85.8,998.1,17.6,49.4,14.8
38.0,1027.5,4.6,30.0,29.6
70.9,987.5,20.0,28.8,3.7
92.5,1018.7,0.9,76.5,25.6
97.7,1015.9,10.9,48.0,24.0
40.6,1021.2,29.2,81.8,11.4
78.6,981.1,7.8,58.2,1.7
56.9,1021.6,10.7,5.3,26.4
70.9,1037.3,1.5,29.2,38.8
26.1,991.6,18.8,76.5,1.1
33.4,999.4,9.5,84.5,9.7
41.7,1021.9,10.9,53.4,20.0
31.5,988.2,8.4,77.9,1.1
93.7,989.8,6.5,50.3,15.6
83.6,1013.5,20.7,95.2,17.8
77.0,1022.1,24.1,41.7,26.5
29.3,987.9,0.5,34.8,10.1
31.1,1006.5,29.6,52.3,12.0
33.8,998.3,22.3,11.9,5.9
75.5,1021.3,9.2,21.0,33.1
54.0,1025.8,3.4,1.9,31.9
54.5,991.8,1.0,66.0,10.4
57.5,1034.5,1.3,30.2,29.7
27.7,987.4,18.1,58.8,-2.8
73.6,981.8,4.4,74.6,2.2
66.4,1001.1,25.7,78.1,7.8
60.4,984.1,24.6,76.3,-1.6
77.3,1037.9,5.2,75.4,27.6
78.0,1035.5,27.6,85.1,23.5
75.9,991.1,20.2,10.7,14.4
98.5,1005.4,15.4,40.8,21.5
45.1,1008.0,15.6,49.6,12.5
43.1,1023.3,2.5,49.4,24.1
56.6,1024.2,20.6,84.1,15.4
52.6,1039.1,12.8,85.7,31.3
84.2,1036.3,11.0,1.3,39.9
73.8,1003.8,15.7,67.7,9.0
51.6,1021.7,29.3,74.1,18.7
33.5,1001.8,6.0,20.0,18.9
52.3,994.0,12.7,49.9,11.1
81.3,1015.6,22.7,80.1,20.6
48.5,1020.0,28.5,98.8,11.5
31.8,1007.3,3.7,48.9,13.1
95.4,981.8,22.1,83.0,0.5
22.1,990.7,18.1,32.7,1.9
69.9,1025.6,19.8,52.0,23.6
57.3,997.6,14.9,50.5,10.4
84.8,1012.4,0.5,76.4,26.8
90.4,987.1,13.5,85.3,4.5
22.9,990.6,19.8,77.9,2.7
33.1,1005.8,9.4,38.9,17.2
65.5,1009.4,16.6,53.9,15.6
65.0,989.4,1.7,26.3,14.0
50.2,1020.6,23.0,28.4,16.2
67.2,987.7,11.0,81.0,5.0
81.2,1017.5,11.4,42.8,29.1
53.0,983.4,7.3,23.5,5.6
26.8,1021.3,26.1,11.4,16.1
63.1,982.2,19.7,42.2,2.4
53.7,981.2,14.1,2.2,4.7
65.6,999.3,2.9,48.8,17.4
36.5,1009.8,24.3,66.7,6.2
44.0,1038.2,6.1,63.5,35.0
26.0,1031.0,6.4,26.5,26.5
65.9,1028.3,18.7,95.8,22.7
66.3,1015.5,8.2,56.6,21.6
54.2,1000.8,2.3,82.4,12.0
44.0,1019.8,9.4,41.4,19.9
61.2,1020.3,16.4,88.1,18.8
61.3,991.2,15.0,66.1,8.9
95.0,996.1,19.1,80.9,12.2
92.5,1036.1,21.8,6.0,32.2
57.0,994.4,22.4,76.6,7.0
52.8,1031.6,27.3,63.4,25.0
41.4,997.2,4.8,68.7,6.8
39.1,989.0,0.8,79.7,3.3
58.8,1039.5,12.7,90.6,24.8
41.8,981.7,23.7,27.8,0.7
71.5,982.5,21.7,78.2,-5.4
91.7,998.8,8.9,6.4,24.8
91.7,1020.3,26.6,39.7,25.8
87.4,994.2,17.1,50.0,6.9
73.1,1014.8,23.3,52.5,17.5
27.2,1016.0,23.2,31.3,18.9
79.0,1028.4,22.3,93.6,18.2
28.5,992.8,8.2,40.8,11.4
24.5,1012.0,21.0,11.3,16.5
58.0,994.8,8.3,78.4,4.3
58.0,1002.1,9.2,64.5,16.7
22.8,1024.4,24.0,5.5,25.9
73.7,995.2,11.5,63.9,12.1
92.3,1021.1,16.0,23.6,27.0
20.6,1037.6,27.8,91.8,16.4
94.9,1025.4,8.9,85.9,22.5
55.1,999.0,24.4,64.4,9.2
41.9,984.8,23.4,49.2,2.0
94.1,1000.0,12.7,91.9,7.4
32.8,995.7,2.0,42.1,13.6
63.8,999.6,20.9,76.2,8.7
34.7,1006.6,19.2,0.3,13.0
44.4,1014.5,3.3,25.0,25.4
81.4,1019.0,3.9,59.4,24.6
95.2,1007.1,26.2,13.4,15.6
67.4,999.7,8.5,8.4,16.9
51.5,1002.6,25.0,57.0,3.5
21.8,1013.5,18.4,22.9,12.0
57.0,995.7,25.6,5.0,11.6
68.0,989.0,28.7,17.0,6.6
21.1,1011.6,23.2,92.8,9.9
59.5,993.5,6.1,94.6,9.5
41.3,1024.8,11.5,43.1,20.8
37.2,1029.4,21.8,18.9,21.8
83.4,981.7,29.3,23.5,2.6
39.9,1015.0,19.4,8.6,19.5
89.7,1038.5,11.9,21.2,36.3
53.9,1015.8,2.2,55.7,17.6
94.5,1008.3,10.6,60.6,21.0
84.2,1022.6,24.3,0.5,27.4
50.5,1038.7,20.1,13.2,35.9
23.3,990.8,5.1,49.3,4.6
57.4,985.4,21.3,43.3,0.3
45.1,1038.7,15.0,97.3,22.4
48.8,1005.8,27.1,26.3,15.3
94.1,1011.0,13.1,16.5,26.7
59.3,1037.0,16.7,92.3,26.6
55.2,991.3,1.6,18.3,13.6
33.1,1008.0,3.5,89.5,12.3
55.3,1039.3,16.8,45.8,26.7
77.6,988.9,10.5,20.4,9.9
86.8,1025.0,24.7,56.3,24.8
37.0,1039.9,0.1,76.7,27.7
93.6,994.8,14.9,9.4,14.6
42.7,1038.9,3.7,37.4,38.2
28.5,999.4,0.9,46.0,14.8
58.4,1017.7,8.1,65.8,19.0
23.5,1017.3,13.6,94.7,17.5
92.6,1027.8,3.9,86.3,31.4
42.6,1027.9,22.3,54.7,22.1
27.4,995.3,7.2,77.1,4.5
21.6,992.5,11.7,40.2,7.4
96.4,989.2,9.0,80.1,10.9
93.7,1034.2,18.1,35.9,28.4
49.4,992.0,13.4,38.8,5.7
68.0,985.4,12.7,36.8,3.9
70.5,985.6,15.4,97.3,2.2
71.8,1022.8,27.9,52.7,21.4
26.7,1008.1,2.4,80.2,11.0
98.7,1021.1,9.0,24.9,29.5
65.5,1013.1,27.5,51.3,14.8
53.0,1007.9,21.6,81.3,8.2
66.8,1026.1,0.5,74.1,26.8
82.9,1030.6,1.4,41.6,36.1
45.1,1023.4,22.7,45.0,23.0
47.3,1035.1,24.3,21.1,23.7
98.6,995.6,20.2,43.4,7.4
51.6,980.8,19.7,46.0,-0.9
72.6,1024.7,21.8,30.3,28.2
69.3,1021.4,28.9,67.5,20.3
27.0,988.1,5.7,81.6,3.8
35.1,981.6,14.4,14.5,0.9
87.4,1031.5,16.2,8.6,36.5
31.9,1005.3,3.5,90.2,13.2
55.6,1009.1,0.6,45.0,17.9
43.6,1029.8,11.8,33.4,23.4
87.8,1005.9,12.5,49.6,18.8
78.5,1039.9,1.1,40.0,38.6
78.0,1036.1,27.2,86.8,21.4
24.9,981.1,17.3,55.3,-5.0
71.9,1033.3,3.5,62.3,33.0
55.9,1006.2,4.8,72.6,14.7
55.0,1010.5,17.6,68.5,17.8
88.3,1022.9,14.1,88.3,24.5
51.2,1005.0,28.2,65.3,6.2
57.8,1038.3,4.9,20.7,38.3
26.9,1009.0,5.2,15.6,19.0
83.5,1036.6,14.8,23.5,35.4
99.9,1001.5,7.8,67.7,13.4
88.8,1010.2,24.2,33.8,14.5
38.1,1013.7,14.6,99.4,14.2
81.5,1026.2,16.7,89.6,25.8
89.9,1016.3,3.1,5.0,35.1
83.9,1037.8,22.7,97.5,28.5
68.8,1031.5,3.1,56.2,31.2
33.4,987.1,6.2,36.2,8.7
76.7,1025.7,15.0,87.0,18.9
49.1,1029.1,3.7,20.2,36.1
81.5,980.4,25.0,47.4,-1.0
33.7,996.0,21.5,41.5,7.1
39.6,1025.2,15.9,78.7,15.3
54.3,1035.1,26.9,95.2,20.5
74.6,1036.6,13.3,77.0,31.3
61.4,984.2,10.1,40.2,8.9
54.7,1003.6,1.1,92.3,9.2
66.0,1038.7,29.4,79.9,27.9
97.8,1005.2,26.6,70.1,16.1
77.7,998.8,10.3,82.7,14.8
68.8,988.8,12.1,64.4,10.1
69.9,1017.1,13.3,34.5,26.2
71.9,1026.5,26.4,8.4,27.1
51.2,1023.1,26.4,52.0,19.0
37.1,1010.7,9.4,34.1,19.2
21.9,1033.4,16.2,25.9,29.8
44.3,1005.4,15.2,73.2,13.7
40.8,1010.4,3.7,75.7,20.0
55.9,1014.3,0.2,33.9,21.7
79.7,1014.9,21.4,93.8,16.3
87.6,994.0,9.0,66.7,14.6
65.8,988.4,11.3,73.8,1.1
61.3,991.6,23.4,45.4,1.8
54.1,1004.7,2.8,42.5,14.0
37.2,984.7,20.3,40.3,1.5
82.3,1032.3,17.5,63.6,32.7
75.1,1036.9,22.0,41.7,26.8
60.5,1009.1,13.7,96.8,11.9
62.3,1021.7,13.7,3.3,24.2
64.7,1035.3,3.6,85.2,25.6
49.6,997.4,15.7,11.8,10.8
50.0,997.6,0.8,14.3,20.0
53.7,1036.2,9.2,28.3,29.7
79.2,980.1,16.4,6.8,2.8
58.5,998.6,13.6,33.8,11.5
86.8,1030.0,4.0,13.9,37.5
80.9,1020.0,4.5,72.8,20.4
70.0,1017.4,11.6,90.0,16.6
23.7,1020.2,13.3,27.7,16.6
33.2,981.5,18.9,77.2,-6.2
71.6,1018.6,2.6,95.5,21.6
80.6,1037.4,15.7,75.1,29.6
21.5,1019.5,16.0,96.2,10.2
36.5,1029.8,25.2,58.0,16.0
62.7,999.2,17.7,49.1,15.0
47.2,990.8,0.7,52.8,8.5
27.3,1038.8,16.3,28.5,26.2
81.5,989.3,28.6,67.9,-2.0
96.9,990.9,21.4,29.8,6.7
31.4,1033.6,7.7,94.2,27.2
24.2,994.4,17.9,23.6,7.0
60.4,1037.0,8.1,31.8,34.4
25.2,981.7,19.0,91.4,-11.3
64.3,1015.2,3.0,76.3,22.0
30.0,1014.1,13.4,84.6,12.6
82.6,988.5,16.2,16.8,8.4
96.2,1037.7,16.7,4.2,41.2
96.9,1017.2,19.6,16.7,21.4
93.7,996.4,7.5,68.0,18.5
87.4,992.8,25.2,28.1,6.4
62.7,984.2,2.7,69.8,8.9
78.0,1039.9,26.3,21.1,32.8
84.2,1033.0,28.4,63.5,29.9
76.6,996.4,19.9,32.2,8.8
96.7,999.7,27.4,13.4,19.2
68.7,980.3,0.3,17.4,10.7
75.7,1009.3,11.8,8.1,26.7
72.1,1012.3,26.8,81.6,11.6
29.9,1038.3,11.3,60.1,26.6
87.1,1028.7,29.5,12.5,26.7
35.4,980.6,22.3,75.8,-3.6
76.7,991.5,24.5,62.5,7.9
37.7,1038.8,29.0,3.7,29.0
76.3,1016.4,0.2,98.4,22.3
28.9,996.6,15.0,17.0,6.9
79.1,1020.3,18.1,17.6,26.8
79.7,987.6,28.0,85.5,3.6
78.3,996.5,25.4,2.3,17.9
74.2,1016.9,20.4,88.3,10.9
54.2,1020.4,19.5,85.4,14.5
87.5,1004.4,3.7,51.8,19.6
61.4,982.6,21.6,4.7,9.7
62.6,999.0,11.8,33.5,17.7
84.6,1039.4,6.8,69.0,38.8
93.4,991.8,9.9,6.3,17.9
22.2,1005.9,0.7,79.7,16.3
87.2,994.8,14.2,95.9,10.6
85.7,1011.2,7.1,7.3,27.3
55.1,985.7,13.4,12.5,12.9
93.3,1002.6,26.7,69.3,13.5
25.0,1028.1,1.6,61.1,24.3
28.1,983.3,1.6,85.0,-0.5
69.4,1004.7,25.9,78.7,9.9
56.3,1007.9,12.8,62.0,10.5
72.1,1020.5,0.8,51.7,28.0
28.6,980.7,21.4,59.3,-0.7
92.3,987.6,15.3,35.5,9.7
69.7,991.2,4.1,4.4,12.1
66.8,1010.8,19.6,35.8,18.5
63.3,988.7,14.1,60.3,3.3
97.6,1011.1,19.7,14.5,20.3
85.5,1013.6,1.6,34.4,31.2
71.2,992.1,2.1,18.9,15.4
75.3,1008.0,20.8,85.2,12.5
46.9,998.0,9.9,10.5,18.4
92.8,1009.8,27.6,63.9,16.4
57.3,992.8,14.4,76.8,8.3
84.6,1002.6,12.0,82.6,7.9
20.8,1001.5,16.6,14.2,10.8
70.5,1034.8,10.8,97.5,23.4
42.7,993.1,7.9,17.4,15.2
39.7,991.8,5.3,26.2,6.7
86.5,988.2,19.6,88.5,1.4
36.8,1007.4,11.1,37.2,12.0
62.2,1027.9,18.7,43.4,27.3
29.5,1033.0,3.9,19.0,31.7
75.5,999.1,12.9,63.6,16.1
81.0,1015.2,25.6,29.4,16.6
39.8,1017.8,8.4,12.6,24.2
66.7,1009.3,21.8,78.5,14.9
69.2,990.0,11.6,88.2,7.1
49.9,1011.1,5.4,71.2,17.1
58.7,1037.3,14.2,58.1,30.8
83.2,1019.0,6.2,89.5,21.5
38.8,993.1,12.8,37.7,4.4
87.4,995.3,2.5,75.2,11.0
61.5,993.8,1.2,51.2,10.9
56.1,1006.0,11.0,49.8,13.0
22.0,1006.5,8.0,7.6,21.3
43.6,1010.1,16.4,7.8,16.5
38.2,987.1,10.8,54.6,2.0
74.0,995.0,22.4,76.8,9.0
35.3,1016.2,4.1,85.5,19.0
63.5,995.7,23.1,28.2,7.9
99.7,1036.7,24.7,75.8,23.5
72.3,1039.4,28.5,86.5,22.0
77.9,992.6,7.0,58.7,11.6
57.5,1028.9,10.2,8.6,34.7
54.3,1036.5,12.5,43.9,34.1
22.4,988.3,26.2,30.6,2.9
60.0,1019.5,10.6,22.5,24.6
80.2,1025.8,20.7,30.0,27.6
65.4,981.9,4.2,97.7,6.4
65.5,1027.9,27.4,57.4,20.5
50.5,1036.9,1.9,38.6,33.8
46.3,1037.7,19.2,30.5,26.4
74.0,990.7,24.8,60.3,-0.5
35.9,1034.7,11.6,20.6,28.3
62.0,1007.3,11.1,1.1,19.7
92.8,1003.5,29.7,12.9,15.0
79.5,1003.3,27.1,20.6,18.1
44.8,1029.1,19.9,15.9,27.2
44.8,992.2,21.5,45.9,1.5
99.3,1006.7,24.7,60.5,12.3
46.3,1014.2,14.7,46.3,13.1
27.3,1018.8,27.6,34.7,18.8
83.4,1003.5,24.7,85.0,8.3
34.4,1017.1,13.0,38.5,20.8
75.9,985.7,21.0,4.4,12.6
32.6,1033.0,16.1,66.7,18.9
78.1,1034.1,27.3,41.1,30.2
29.7,1002.1,22.7,50.4,10.0
52.8,989.9,6.2,4.5,8.2
71.1,1020.5,13.9,34.4,23.8
35.6,982.3,7.5,70.9,-3.3
73.6,1007.9,13.8,8.3,22.9
77.1,1006.3,14.1,27.9,15.4
87.1,1016.4,5.3,12.4,31.5
33.5,1020.3,0.3,27.3,25.1
34.2,1022.9,26.8,53.2,15.9
23.8,1018.1,15.7,66.3,16.7
28.2,1021.4,13.3,59.8,14.0
50.2,992.1,7.5,90.9,1.7
21.3,981.7,0.4,82.1,1.4
25.1,1037.5,2.9,83.5,28.7
77.9,982.6,15.4,81.6,-0.4
70.1,1017.5,28.0,39.5,17.7
38.6,986.4,9.7,1.5,10.5
21.0,992.8,6.6,65.8,2.7
69.9,982.6,26.6,41.1,3.9
60.0,1039.4,21.4,79.1,30.6
65.5,995.1,2.8,32.4,16.3
51.1,1035.5,23.1,13.3,26.3
80.9,1021.3,29.3,66.6,13.9
21.4,1034.7,13.5,51.1,27.8
60.3,1022.3,0.4,2.1,34.4
29.9,994.2,12.9,24.4,4.6
31.0,1009.9,6.1,37.6,18.9
39.0,1023.5,29.7,44.4,21.1
30.7,999.1,23.6,4.0,13.0
53.2,1028.8,22.5,22.9,28.0
47.4,992.3,1.6,91.8,11.1
84.1,1021.8,6.7,87.3,23.8
34.7,1017.8,1.9,49.2,26.4
24.2,1039.5,28.1,12.6,24.2
63.9,1027.7,6.1,50.7,27.6
57.4,989.8,5.9,42.4,10.7
44.2,1014.6,29.0,20.1,19.6
58.5,1037.1,10.8,37.8,32.1
53.8,1016.6,13.0,15.6,27.7
58.6,1025.7,12.8,8.3,33.1
44.0,1012.2,16.6,17.6,17.6
44.5,997.0,16.9,48.1,6.4
77.2,991.7,27.5,0.4,13.9
78.4,1002.5,12.1,41.6,15.2
79.4,1003.0,9.2,98.8,7.5
90.8,1039.5,3.7,93.2,30.0
81.0,1037.4,23.1,75.2,25.8
76.7,1018.1,11.0,5.8,26.7
53.9,994.8,14.3,92.1,2.9
76.5,981.7,20.0,14.8,7.1
95.5,988.8,7.4,57.8,12.6
32.9,987.0,2.8,71.2,2.7
76.5,1038.4,2.4,91.0,35.8
33.3,1005.6,20.8,50.1,10.2
90.9,1015.2,22.0,75.2,21.8
89.6,986.6,17.2,79.8,7.2
41.5,992.6,22.4,69.9,-3.2
33.5,1009.5,2.9,77.4,13.7
53.3,997.3,12.9,17.6,10.2
30.7,1009.2,15.1,11.0,17.7
37.0,992.1,22.5,80.9,-3.2
98.6,1032.3,13.2,91.3,24.0
70.9,984.8,2.6,12.5,8.1
22.4,994.1,14.6,76.1,-2.6
41.3,1037.3,20.0,78.9,19.3
36.9,1027.5,11.3,52.0,28.5
41.3,1009.2,22.7,60.4,9.2
74.5,1000.6,9.5,24.0,16.1
51.9,1016.6,29.3,87.3,14.1
20.2,1032.2,12.1,83.5,25.4
22.1,987.4,15.9,95.1,-0.9
39.9,1007.1,20.6,87.0,7.8
72.8,980.2,19.1,94.2,-4.6
70.7,1032.4,29.1,73.6,24.0
38.7,1009.1,22.2,79.4,7.3
95.1,1036.5,14.3,65.8,33.9
28.0,1003.1,18.2,71.2,10.5
